$type='simple'
$title='28-Jul-2016 @ 16:44:32 Simple Data'
$sizes=[6,10,8]
$method='blrm'
$comment='sin/cos data (random frequency & magnitude)'
$comment='Type: simple'
$date='28-Jul-2016'
$time='16:44:32'
$machine='00000010'
$project='Sample Project'
           t [s]           x [µ]           y [µ]          p [m°]          ux [µ]          uy [µ]
      127.348643       10.116031       10.187263       86.152316       -0.017618       -0.114450
      129.436326       10.738198       10.566689       93.449304       -0.012522        0.024534
      131.524008       10.849773        9.276067       84.803726        0.213084        0.028572
      133.611691       10.960917        9.047633       84.629450       -0.018788        0.134853
      135.699374       11.201486        9.571687       88.926888        0.033129       -0.139842
      137.787056       11.429956        9.720311       92.983800        0.035859       -0.031886
      139.874739       11.464127        9.336915       91.299540        0.101732        0.039080
      141.962422       11.976656        9.173912       92.132913        0.023682       -0.009133
      144.050104       12.268372        9.071941       93.318927        0.040287        0.182589
      146.137787       12.627201        8.576449       91.903615        0.035437       -0.033049
      148.225470       12.334582        8.222506       87.460765        0.295790       -0.212740
      150.313152       12.149757        9.035984       90.720911        0.096368        0.065687
      152.400835       12.423552        8.448498       90.054526       -0.096414       -0.125912
      154.488518       12.211261        7.797435       83.243153       -0.133919        0.118340
      156.576200       12.302590        8.302333       89.400158       -0.177632        0.036344
      158.663883       12.276531        7.372779       81.689877        0.202409       -0.030975
      160.751566       12.197377        7.543858       82.239672       -0.090082       -0.088206
      162.839248       12.378240        7.622704       85.306302        0.109135        0.167161
      164.926931       11.975102        6.950898       74.831207        0.058720        0.027858
      167.014614       12.224470        6.929820       78.386631       -0.167940       -0.044019
      169.102296       12.108983        6.884531       75.970286        0.222515       -0.062539
      171.189979       11.995595        7.330531       78.684022        0.060753       -0.016235
      173.277662       11.593484        6.730584       72.509133        0.200216        0.113066
      175.365344       11.524831        6.342878       69.904636        0.037691        0.171967
      177.453027       11.553561        6.292404       68.142071        0.019752        0.002447
      179.540710       10.961416        6.188801       64.567228       -0.112125        0.038442
      181.628392       10.673207        6.614555       66.374585        0.004136        0.029103
      183.716075       10.829230        6.071910       61.510129        0.015084       -0.148407
      185.803758        9.687651        5.886286       52.091470       -0.167316        0.012630
      187.891441        9.857163        6.200324       56.391484       -0.002081       -0.044824
      189.979123       10.200634        6.109381       58.755763        0.017957       -0.038500
      192.066806        9.345494        6.419888       54.359077       -0.079327       -0.013579
      194.154489        9.080230        6.525847       52.479315        0.045166       -0.260173
      196.242171        8.703610        6.639392       51.508713       -0.133389       -0.066109
      198.329854        8.896567        6.594701       52.632627       -0.063112        0.068059
      200.417537        8.079716        6.700372       47.044475        0.011593        0.010871
      202.505219        8.155332        7.223826       50.604822       -0.066561       -0.046432
      204.592902        8.261103        6.409371       47.101173        0.046397       -0.030677
      206.680585        7.984445        6.818654       47.637708       -0.039909       -0.097199
      208.768267        7.978472        6.564871       45.463068       -0.096153       -0.062765
      210.855950        7.762134        7.559638       50.660334        0.102475       -0.052470
      212.943633        7.789887        7.464646       50.312265        0.066005       -0.016751
      215.031315        7.317310        7.556084       47.299724        0.062850        0.052916
      217.118998        7.595852        7.306869       47.342320        0.075362       -0.001894
      219.206681        7.214701        8.100738       52.396889        0.111036       -0.007179
      221.294363        7.723799        8.159311       54.954840        0.108996       -0.075196
      223.382046        7.540648        8.010977       51.235723        0.003706        0.088076
      225.469729        7.814232        8.262935       56.080931       -0.049530        0.021193
      227.557411        7.662213        8.570343       58.625673       -0.012172        0.050944
      229.645094        7.965260        8.905560       61.589162        0.136164        0.019736
      231.732777        8.262262        8.630610       63.923842       -0.131765        0.072694
      233.820459        7.794056        9.242571       62.522009       -0.062083        0.136127
      235.908142        8.004098        9.630515       66.732644        0.114764       -0.038847
      237.995825        8.215781        9.440378       66.619032        0.093060        0.048830
      240.083507        8.997638        9.443898       74.188503       -0.054509        0.061137
      242.171190        9.137972        9.845400       76.336228       -0.022750       -0.000789
      244.258873        9.149505       10.163396       79.584225       -0.017138        0.172075
      246.346555        9.863222        9.723597       79.551343       -0.030294       -0.088075
      248.434238        9.834521        9.743975       80.508457       -0.268757       -0.043752
      250.521921        9.731622        9.444591       78.856526       -0.047006        0.007011
      252.609603       10.109548        9.573885       80.573449        0.033997        0.002358
      254.697286       10.287946       10.037419       86.324963        0.269673       -0.020051
      256.784969       11.029150        9.754565       90.004921       -0.160889       -0.043173
      258.872651       10.942257        9.955928       91.970761       -0.069910        0.074213
      260.960334       11.050862        9.831480       90.783487       -0.042402       -0.005436
      263.048017       11.390648        9.626119       92.014227       -0.103651       -0.072609
      265.135699       11.534181        9.620395       91.746299       -0.074115        0.154155
      267.223382       12.069577        9.715150       95.944311       -0.211667        0.082094
      269.311065       12.149343        9.257835       93.903810       -0.012366        0.133996
      271.398747       12.248926        9.040018       92.174978       -0.057036       -0.002407
      273.486430       12.385386        8.711429       92.742812        0.058848        0.172424
      275.574113       12.394053        8.143394       88.498857        0.006315        0.082771
      277.661795       12.245795        8.182261       87.910738        0.117240       -0.162729
      279.749478       12.594731        8.247008       91.090369        0.178281       -0.113878
      281.837161       12.313838        7.591448       83.234400        0.013404        0.052527
      283.924843       12.240366        7.892448       84.380761       -0.136184       -0.010457
      286.012526       12.192246        7.649344       83.391262        0.026854       -0.012943
      288.100209       12.529049        7.386597       84.506022        0.153808        0.096729
      290.187891       12.452610        7.265326       82.842934       -0.010502        0.153197
      292.275574       11.747791        7.000992       76.142243        0.042639        0.035211
      294.363257       11.940427        6.821140       76.766292       -0.106295        0.011460
      296.450939       11.855018        6.672850       73.976641        0.166010        0.202584
      298.538622       11.482164        6.833062       73.354975        0.044421       -0.000961
      300.626305       11.564878        6.386747       69.650068       -0.046436       -0.040549
      302.713987       11.233886        5.470468       61.684046       -0.184143       -0.053554
      304.801670       10.910715        6.069831       61.523592       -0.075639       -0.066210
      306.889353       10.577478        6.220225       63.057003       -0.112990        0.007353
      308.977035       10.584379        6.417016       61.313636       -0.054181       -0.077477
      311.064718       10.360790        6.525400       62.399937        0.038149       -0.167257
      313.152401       10.017668        5.780697       54.257451        0.091229       -0.115640
      315.240084        9.605210        6.339882       54.506794        0.017120        0.039258
      317.327766        9.593918        6.210497       54.952325        0.009209        0.098215
      319.415449        8.953331        6.126007       49.873481        0.041208        0.108234
      321.503132        8.934501        6.278273       51.841173        0.291852        0.208158
      323.590814        8.970450        6.358361       51.432820        0.036599       -0.097558
      325.678497        8.416443        6.527190       49.159160        0.015485        0.122808
      327.766180        8.077600        6.690088       47.606940        0.173562        0.007351
      329.853862        8.491360        6.546542       50.673360        0.009850       -0.042100
      331.941545        7.864991        6.587891       46.255226       -0.074028       -0.038374
      334.029228        7.875297        7.404185       50.966602        0.102508        0.080066
      336.116910        7.497280        7.207731       47.054503       -0.039368        0.058478
      338.204593        7.643524        7.922235       54.670126        0.022231       -0.162556
      340.292276        7.621722        7.370116       48.712670        0.096388        0.092223
      342.379958        7.490013        7.676693       50.992017        0.088874        0.074271
      344.467641        7.553438        8.525418       55.707009       -0.176367       -0.021270
      346.555324        7.763722        8.723122       58.674626       -0.259826       -0.088314
      348.643006        7.255549        8.140424       52.602460       -0.077187       -0.069263
      350.730689        7.676736        8.731003       59.478580        0.181709       -0.111251
      352.818372        7.309301        9.282317       61.160805        0.025858       -0.004519
      354.906054        7.869631        9.457451       64.679245       -0.016693       -0.034980
      356.993737        8.428735        8.782738       65.461920       -0.017148       -0.028075
      359.081420        8.390295        9.869551       71.984763        0.114198        0.019923
      361.169102        8.380622        9.700713       70.523531        0.036353       -0.026759
      363.256785        8.521060        9.683484       73.062484        0.052339       -0.152748
      365.344468        8.934156        9.642521       75.424586       -0.229955       -0.053884
      367.432150        9.288013        9.490063       73.271676       -0.019144       -0.047101
      369.519833        9.315102        9.898029       78.836474        0.002111       -0.154425
      371.607516        9.917496        9.830432       81.413406       -0.094603        0.079711
      373.695198        9.658709       10.682749       86.100456       -0.002524       -0.194998
      375.782881        9.670059       10.002641       81.095174       -0.066255        0.037991
      377.870564       10.203366        9.867447       86.068212        0.095689       -0.026533
      379.958246       10.582293        9.879748       88.436133       -0.062789       -0.032783
      382.045929       10.799126        9.626517       87.517440        0.143515        0.058289
      384.133612       10.941590       10.413656       94.168434       -0.004691       -0.027318
      386.221294       11.644718        9.850954       94.913900        0.098508       -0.020415
      388.308977       11.226019        9.551833       90.108359        0.251334       -0.078442
      390.396660       11.668960        9.756543       94.222339        0.007351        0.101318
      392.484342       11.747161        9.232725       90.685938        0.164405        0.089246
      394.572025       12.013779        9.048195       91.926829       -0.117971        0.061779
      396.659708       12.108958        8.723978       89.529516        0.200568        0.047813
      398.747390       12.468053        8.519126       90.527014       -0.132927        0.065379
      400.835073       12.225892        9.044695       92.631881       -0.007193        0.062483
      402.922756       12.332576        8.574179       90.261576       -0.035952        0.035469
      405.010438       12.563357        8.149825       89.000087       -0.126407        0.056846
      407.098121       12.779551        8.469655       95.208586       -0.143885       -0.063819
      409.185804       12.119444        7.720230       81.686709        0.071102        0.002641
      411.273486       12.858099        7.605579       86.201833       -0.152812        0.049534
      413.361169       12.198970        6.854295       77.612615       -0.147475       -0.065293
      415.448852       12.423748        7.281364       81.886452        0.124176        0.000069
      417.536534       12.379935        6.477399       75.289331        0.000187       -0.016876
      419.624217       12.284583        6.458848       75.523001        0.041765        0.111728
      421.711900       11.708713        6.934707       75.238787       -0.099146        0.042524
      423.799582       11.629164        6.600832       70.483612       -0.021647        0.098503
      425.887265       11.373602        6.079773       65.775275        0.033764        0.056040
      427.974948       11.046621        6.129214       62.972511        0.018420        0.090831
      430.062630       10.993273        6.256634       64.831040        0.196689       -0.008505
      432.150313       10.757851        6.179052       62.718478       -0.068649        0.010364
      434.237996       10.341326        5.504351       55.587406       -0.016496       -0.056534
      436.325678       10.179876        5.645406       53.713922        0.091544        0.034882
      438.413361       10.464012        5.458084       55.745891        0.104290        0.276685
      440.501044        9.613169        6.032434       53.378879       -0.217111        0.008783
      442.588727        9.505890        5.534972       50.649682       -0.043107       -0.004104
      444.676409        8.993897        6.388192       51.975247       -0.074438        0.077243
      446.764092        8.732768        5.912510       45.990282       -0.001762       -0.140726
      448.851775        8.538049        5.981002       45.408821        0.056669        0.101541
      450.939457        8.517229        7.048284       52.432469        0.048931       -0.076281
      453.027140        8.017528        7.307118       52.684984        0.125499        0.051076
      455.114823        7.606007        6.483943       42.127792        0.049245        0.024894
      457.202505        7.861672        6.906292       45.797364        0.034698       -0.006032
      459.290188        7.618023        7.739777       51.306844        0.104015       -0.064555
      461.377871        7.662825        7.108179       48.521143        0.047153        0.037558
      463.465553        7.534789        8.044672       53.708521       -0.145707        0.101210
      465.553236        7.617616        7.952804       53.154364        0.012080        0.061438
      467.640919        7.625061        7.908110       54.489345       -0.182019        0.125648
      469.728601        7.136157        7.981309       49.243631        0.122174       -0.124973
      471.816284        7.118962        8.859467       56.104138       -0.231865        0.001734
      473.903967        7.617178        8.740332       57.643551       -0.060482       -0.121532
      475.991649        7.656274        8.496683       56.294067        0.010369        0.010317
      478.079332        7.491963        9.023848       59.271133       -0.004204        0.048747
      480.167015        8.103016        8.786560       62.865856        0.207122       -0.069090
      482.254697        7.996989        9.293016       67.057063        0.006101        0.115454
      484.342380        8.197085        9.903320       71.491538       -0.067528       -0.042737
      486.430063        8.430602        9.714251       69.956220        0.064572        0.056109
      488.517745        8.754649        9.412108       70.964613       -0.132738       -0.031293
      490.605428        9.158185        9.881811       76.732013        0.059986       -0.068249
      492.693111        9.013229        9.622731       74.162095        0.027602       -0.066345
      494.780793        8.948232       10.583643       81.890448       -0.043202       -0.130593
      496.868476        9.816876        9.370459       78.684756       -0.068425        0.136868
      498.956159        9.660068        9.767027       80.971131       -0.130952       -0.220251
      501.043841       10.409582       10.240004       89.144637       -0.206631       -0.116104
      503.131524       10.276660        9.693412       83.005098       -0.046641       -0.178612
      505.219207       11.001091        9.927454       91.422198        0.085497       -0.120865
      507.306889       10.754134       10.073913       88.457671       -0.078532       -0.251265
      509.394572       10.935468       10.188969       92.664206        0.174310        0.054197
      511.482255       11.627791        9.362654       91.527999       -0.097714        0.003640
      513.569937       11.336965        9.490590       90.885001        0.235491       -0.092783
      515.657620       11.990627        9.251134       91.282780       -0.076140       -0.117088
      517.745303       12.119896        9.214257       93.136821        0.010923       -0.118618
      519.832985       12.152292        9.205395       93.521611        0.157848       -0.025061
      521.920668       12.245234        8.696969       90.695162        0.135674       -0.181988
      524.008351       12.886672        8.975952       97.909751       -0.083341        0.036606
      526.096033       12.433813        8.653109       92.305428        0.081244       -0.008084
      528.183716       12.531531        8.150050       89.419874       -0.122580       -0.030804
      530.271399       12.394639        8.189840       88.269069       -0.187646        0.058700
      532.359081       12.422368        8.215298       90.132674        0.072728        0.031117
      534.446764       12.444625        8.009756       86.856804       -0.190261       -0.031022
      536.534447       12.895512        7.696702       88.246300       -0.235188        0.002771
      538.622129       12.345770        7.253505       80.619994       -0.006605       -0.012001
      540.709812       12.167841        6.877163       77.253664        0.152426       -0.056343
      542.797495       12.084290        6.975989       78.145874        0.133960        0.100030
      544.885177       12.180859        6.576483       74.076410       -0.164456        0.108195
      546.972860       11.546849        6.464975       70.273399        0.004101        0.006514
      549.060543       11.773970        6.742908       72.884187        0.088316       -0.092407
      551.148225       11.117008        6.793573       70.161827        0.107124       -0.105567
      553.235908       11.145681        6.405248       64.891945        0.171681        0.022590
      555.323591       10.517807        6.805881       63.310376        0.174487       -0.023816
      557.411273       10.781566        5.546943       59.924397        0.094193       -0.073187
      559.498956       10.547689        6.021147       59.832322       -0.156693        0.011882
      561.586639        9.967298        6.023921       53.968129        0.004367       -0.106619
      563.674322        9.916042        6.531717       57.445712       -0.151790        0.030638
      565.762004        9.608231        6.182875       54.450659        0.135638       -0.143288
      567.849687        9.561244        5.951874       52.899889        0.191628       -0.220839
      569.937370        9.070282        6.311243       52.009095       -0.220164       -0.018731
      572.025052        9.022289        6.427451       53.218334        0.091905       -0.088374
      574.112735        8.526636        6.380126       48.681389       -0.037710        0.137801
      576.200418        8.185881        5.765671       41.587106       -0.052576        0.123540
      578.288100        8.118027        6.928610       50.378499       -0.097801       -0.055091
      580.375783        7.898496        5.574987       40.382445        0.138977       -0.087006
      582.463466        7.978854        6.952496       48.546271        0.042152       -0.019476
      584.551148        7.632718        6.579863       43.246291       -0.013075       -0.028447
      586.638831        7.346368        7.174537       46.690623        0.045897        0.124679
      588.726514        7.415892        7.964356       51.151484        0.111454       -0.031347
      590.814196        7.660465        7.530664       48.845411       -0.095647        0.108496
      592.901879        7.274618        8.557211       54.715600       -0.087415        0.111352
      594.989562        7.221779        8.387220       53.509992        0.075735        0.226775
      597.077244        7.620170        8.253967       55.265841        0.174424       -0.034151
      599.164927        7.481878        8.240467       52.929555        0.137520       -0.042774
      601.252610        7.465286        8.578791       55.706693       -0.012716        0.150815
      603.340292        7.495367        9.064746       59.235461       -0.146495       -0.066453
      605.427975        7.469400        8.324769       55.522814       -0.257709       -0.163395
      607.515658        8.000155        9.499965       66.368817       -0.101922        0.007806
      609.603340        8.081680        9.543971       68.035274        0.124252        0.045023
      611.691023        8.431930        9.866664       72.694718       -0.060404       -0.032668
      613.778706        8.259005       10.404241       74.448203        0.031210       -0.031562
      615.866388        9.124465        9.710356       73.841444        0.023406       -0.122662
      617.954071        9.191564        9.573833       75.724790       -0.242304        0.155052
      620.041754        8.994737       10.366139       80.238254        0.137618        0.018123
      622.129436        9.856857       10.312526       84.424064        0.222718       -0.049292
      624.217119        9.763569        9.982822       82.207611       -0.004279        0.036163
      626.304802       10.241741        9.828668       84.045570        0.109844        0.075096
      628.392484       10.499397       10.088694       89.840275       -0.083307       -0.094347
      630.480167       10.523716        9.576502       84.670542        0.065576        0.020274
      632.567850       10.340599        9.912466       85.978197        0.233554       -0.043413
      634.655532       11.359114        9.585560       89.549991        0.144290        0.148564
      636.743215       11.400973        9.415346       88.968112       -0.076994        0.014303
      638.830898       11.566837        9.892429       92.837959       -0.112157       -0.101222
      640.918580       12.001238        9.430396       94.761216        0.005843       -0.009996
      643.006263       11.935237        9.717024       96.182573       -0.026072        0.040415
      645.093946       12.403789        8.717072       91.004388       -0.006901        0.189053
      647.181628       12.422967        8.979834       96.754876        0.139822        0.003561
      649.269311       12.275330        8.347181       89.292218        0.024325        0.051442
      651.356994       12.771540        8.707082       94.763141        0.183043        0.108065
      653.444676       12.744346        8.729835       96.269210       -0.004726        0.045789
      655.532359       12.945995        8.421018       91.069205       -0.014656       -0.078279
      657.620042       12.457122        7.141220       81.095656        0.087252       -0.014496
      659.707724       12.423577        7.877782       86.084366        0.046890       -0.059204
      661.795407       12.635415        7.439950       84.731319       -0.023089        0.063608
      663.883090       12.625504        7.347344       82.751381       -0.174697        0.138629
      665.970772       12.544697        6.852689       80.321587       -0.122802       -0.001975
      668.058455       12.215089        6.292789       71.293129        0.067854        0.094929
      670.146138       11.992242        6.985947       76.956955        0.059781       -0.062708
      672.233820       12.003353        6.351969       72.935381       -0.161469        0.014337
      674.321503       12.090062        6.270706       72.483509        0.013190       -0.015882
      676.409186       11.615697        6.316468       69.897392        0.058229        0.146723
      678.496868       11.188988        7.018634       70.672752       -0.129277        0.026457
      680.584551       10.781127        6.851539       67.990550       -0.109804        0.069094
      682.672234       10.756927        5.556810       57.812949        0.131345       -0.030707
      684.759916       10.257631        5.803227       54.728264       -0.192907       -0.057006
      686.847599       10.142085        6.282748       58.656265        0.049118        0.035523
      688.935282        9.983901        5.241732       49.944602        0.107587       -0.073659
      691.022965        9.738087        6.400179       55.918289       -0.197038       -0.122556
      693.110647        9.387491        5.916075       51.642468       -0.014321       -0.027191
      695.198330        9.301351        6.572063       55.155384       -0.129276        0.143926
      697.286013        9.154157        5.884312       49.008058        0.009896       -0.035309
      699.373695        8.058267        5.980861       41.711977       -0.046438        0.019875
      701.461378        7.860278        7.218097       51.269252       -0.181603       -0.053435
      703.549061        7.849386        6.775065       47.575405        0.067977       -0.184535
      705.636743        7.419061        6.631070       42.156743        0.065578        0.000038
      707.724426        7.631921        6.560657       43.436994       -0.068028        0.152429
      709.812109        7.500079        7.481778       50.427559        0.058066       -0.029838
      711.899791        7.524156        7.420404       50.455655       -0.147875       -0.103513
      713.987474        7.450173        6.734164       44.424420       -0.135824       -0.089161
      716.075157        7.174432        7.413286       45.778766       -0.126878        0.032777
      718.162839        7.121179        8.958003       55.954394       -0.012026       -0.037830
      720.250522        7.494249        8.151741       54.295799       -0.057661        0.088526
      722.338205        7.260372        7.684465       47.724192        0.210243       -0.024819
      724.425887        7.098125        8.277266       50.524310       -0.007822       -0.187697
      726.513570        7.507293        8.643021       56.686029        0.061802       -0.039552
      728.601253        7.672069        9.222545       63.247950        0.063148        0.064073
      730.688935        7.677661        9.113673       61.703638        0.040891        0.092383
      732.776618        8.095257        9.377662       66.563187        0.021086        0.115644
      734.864301        8.188868        9.495015       68.948228        0.136849        0.090065
      736.951983        8.302856        9.312629       67.550682       -0.128058        0.096605
      739.039666        8.574513       10.171084       74.043013        0.179880        0.170463
      741.127349        8.938510        9.746101       75.662500        0.075496        0.138099
      743.215031        8.993577        9.796398       76.022259       -0.126444        0.015803
      745.302714        9.124387       10.085996       78.381269        0.122117       -0.042851
      747.390397        9.610068       10.036213       81.096666        0.130082       -0.025177
      749.478079        9.958647        9.897271       82.427838        0.187806        0.063237
      751.565762       10.330244       10.116079       87.099412       -0.046235        0.108736
      753.653445       10.488071       10.773897       92.004712        0.180332       -0.022280
      755.741127       10.666421       10.181073       89.401807        0.028982        0.136140
      757.828810       11.177487        9.695550       88.570453       -0.160983       -0.065245
      759.916493       11.271156        9.527870       89.055465       -0.085379       -0.041880
      762.004175       11.726394        9.632105       92.790500        0.102244       -0.034826
      764.091858       11.745985        9.037016       90.080343        0.197225       -0.059576
      766.179541       11.972259       10.063579       99.760993       -0.130147        0.078291
      768.267223       12.137962        9.336608       95.397119       -0.012229       -0.016838
      770.354906       12.108339        8.683056       90.627059       -0.072244        0.166638
      772.442589       12.243331        8.935476       92.954261        0.206771       -0.000552
      774.530271       12.344779        8.191445       88.321708       -0.098569        0.167965
      776.617954       13.060484        8.683544       96.988032        0.146466       -0.218697
      778.705637       12.653983        8.203455       89.242911       -0.068703        0.032564
      780.793319       12.940210        8.062525       91.886132        0.085435        0.025514
      782.881002       12.796073        7.954399       88.005710       -0.145668        0.174167
      784.968685       13.108203        7.907793       91.756296        0.165030        0.023555
      787.056367       12.825727        7.117039       82.732259       -0.242319        0.160125
      789.144050       12.231375        6.681842       75.381220        0.035477        0.170346
      791.231733       12.316310        6.957279       78.442370        0.046310       -0.055828
      793.319415       12.448938        6.520232       75.425729       -0.090277       -0.107159
      795.407098       12.134533        6.779952       76.418056       -0.106310        0.077237
      797.494781       12.395554        5.827852       72.722871        0.067028       -0.073357
      799.582463       11.640948        6.629287       71.631313       -0.113983       -0.014144
      801.670146       11.055384        6.312972       66.096149       -0.003106       -0.051411
      803.757829       11.266326        5.714686       63.036364       -0.310174        0.009073
      805.845511       10.686205        5.907511       61.422426       -0.228915        0.053678
      807.933194       10.634099        6.248012       62.009268       -0.004923        0.064098
      810.020877       10.590757        6.762373       65.778295        0.122975        0.012208
      812.108559       10.125520        5.777439       57.902391       -0.181445       -0.085222
      814.196242        9.836417        6.388446       58.773637        0.074653       -0.076223
      816.283925        9.436066        5.635517       48.523410        0.054376        0.026307
      818.371608        9.168587        6.060351       51.775333       -0.064732       -0.196587
      820.459290        8.907959        5.990101       47.318123       -0.002632       -0.105700
      822.546973        8.020919        6.277251       44.097577        0.241044       -0.140919
      824.634656        8.519708        6.100457       46.644536       -0.154064       -0.029515
      826.722338        8.431274        5.912841       45.321276        0.052811        0.043670
      828.810021        7.689973        6.467896       42.688284        0.022831        0.212828
      830.897704        7.451528        6.885170       44.921400        0.035429       -0.000371
      832.985386        7.789395        6.737054       47.543256       -0.000647       -0.096087
      835.073069        7.156445        7.044576       41.405791        0.030953       -0.040819
      837.160752        7.007318        7.454777       44.103341       -0.027647        0.041240
      839.248434        7.503392        7.715471       51.788005       -0.186281        0.091966
      841.336117        7.115359        7.487368       45.910025       -0.064242       -0.041317
      843.423800        7.538368        7.871282       51.827393        0.025789       -0.000415
      845.511482        6.954665        8.492155       53.099896        0.028466        0.106728
      847.599165        7.152756        8.522396       56.065988        0.066402        0.020137
      849.686848        7.422426        8.148482       51.625536        0.244306        0.007235
      851.774530        7.592917        9.373571       61.807958       -0.181954       -0.029796
      853.862213        7.700265        8.813068       59.511669        0.074845       -0.034617
      855.949896        7.788656        8.972559       61.329043        0.014941        0.095220
      858.037578        7.867945        8.892724       61.437358       -0.004179       -0.047849
      860.125261        7.987006        9.514423       66.180407       -0.076245       -0.004254
      862.212944        8.457233        9.659743       72.105798       -0.014028       -0.093044
      864.300626        8.493991        9.706656       70.444423        0.074840        0.054337
      866.388309        8.939579        9.629078       74.195989        0.046884        0.022426
      868.475992        9.364828        9.423188       76.561606       -0.176624        0.039739
      870.563674        8.860155       11.130226       84.329140        0.099683       -0.002423
      872.651357       10.098011       10.636475       88.483767        0.027447       -0.066789
      874.739040        9.815168        9.996446       82.808784        0.208365       -0.007678
      876.826722       10.563334       10.074468       88.128859       -0.122362       -0.115570
      878.914405       10.906323       10.210279       91.181622       -0.079425       -0.030474
      881.002088       10.477740       10.025150       88.952657       -0.192741        0.207647
      883.089770       11.137894        9.751481       90.016303        0.000397        0.150508
      885.177453       12.173337       10.184456       99.892254        0.109466        0.078100
      887.265136       11.553156        9.333891       89.408226       -0.052687        0.039426
      889.352818       11.947123       10.289754       99.786620       -0.057101        0.074390
