$type=plain
$title=28-Jul-2016 @ 16:38:58 Plain Data
$sizes=[5,8,10]
$method=blcs
$comment=sin/cos data (random frequency & magnitude)
$comment=Type: plain
$date=28-Jul-2016
$time=16:38:58
$machine=9508842005245
$package=@5245.26
$project=Sample Project
;           t [s];           x [µ];           y [µ];          p [m°];
;      248.120301;        0.380641;       -3.083081;      -13.059383;
;      250.626566;       -0.095279;       -3.641451;      -18.048598;
;      253.132832;       -1.293964;       -3.832729;      -26.675521;
;      255.639098;       -1.242271;       -3.025448;      -21.191474;
;      258.145363;       -1.502832;       -2.369107;      -19.215540;
;      260.651629;       -2.180132;       -2.400261;      -23.013270;
;      263.157895;       -2.654289;       -2.106058;      -23.143896;
;      265.664160;       -3.273744;       -1.518759;      -24.230993;
;      268.170426;       -3.482857;       -1.745997;      -26.753622;
;      270.676692;       -3.680359;       -0.391570;      -20.155977;
;      273.182957;       -3.830181;       -0.640612;      -22.014523;
;      275.689223;       -4.049203;        0.147991;      -19.666712;
;      278.195489;       -3.875868;        0.511841;      -16.231841;
;      280.701754;       -3.671771;        1.150253;      -13.729863;
;      283.208020;       -3.479633;        0.935503;      -13.515714;
;      285.714286;       -2.860449;        2.446229;       -4.344505;
;      288.220551;       -2.084244;        2.498944;        2.459525;
;      290.726817;       -2.419740;        3.269388;        3.514187;
;      293.233083;       -1.577584;        3.322003;        8.534515;
;      295.739348;       -1.335130;        3.045571;        9.300476;
;      298.245614;       -0.152350;        2.838097;       13.466574;
;      300.751880;        0.482930;        2.600688;       15.091245;
;      303.258145;        0.439712;        3.098197;       17.059591;
;      305.764411;        1.794255;        3.024990;       23.917677;
;      308.270677;        1.707135;        3.077440;       24.370946;
;      310.776942;        2.493894;        2.162304;       22.153644;
;      313.283208;        3.127455;        2.378391;       27.478387;
;      315.789474;        3.302157;        1.754540;       25.865748;
;      318.295739;        4.055556;        1.048375;       24.461833;
;      320.802005;        4.361322;        1.073424;       27.672349;
;      323.308271;        3.919956;        0.421243;       22.215188;
;      325.814536;        3.503036;       -0.237406;       15.670417;
;      328.320802;        3.753539;       -0.057232;       17.359221;
;      330.827068;        3.477581;       -0.941849;       13.001917;
;      333.333333;        3.231633;       -1.623622;        8.643554;
;      335.839599;        2.806149;       -1.912226;        4.902092;
;      338.345865;        2.639826;       -2.336737;        2.085576;
;      340.852130;        2.584128;       -2.614350;       -1.035009;
;      343.358396;        1.438733;       -2.764099;       -6.190068;
;      345.864662;        0.949486;       -3.270831;      -12.040817;
;      348.370927;        0.651216;       -3.424718;      -14.287847;
;      350.877193;        0.042934;       -3.066491;      -16.283340;
;      353.383459;       -0.726214;       -2.511331;      -15.363150;
;      355.889724;       -1.203931;       -3.072747;      -21.252125;
;      358.395990;       -1.795972;       -3.083294;      -23.643447;
;      360.902256;       -2.574759;       -2.549500;      -24.487245;
;      363.408521;       -2.849937;       -2.282111;      -26.514167;
;      365.914787;       -3.382789;       -1.832356;      -25.592671;
;      368.421053;       -3.806642;       -1.131281;      -24.699207;
;      370.927318;       -3.682675;       -0.851611;      -21.983971;
;      373.433584;       -3.915817;       -0.506116;      -21.276366;
;      375.939850;       -3.984621;        0.045839;      -19.076396;
;      378.446115;       -3.798044;        0.261452;      -18.298609;
;      380.952381;       -3.468974;        0.893427;      -12.973019;
;      383.458647;       -3.326389;        1.168667;      -10.589531;
;      385.964912;       -3.013825;        1.872668;       -3.324146;
;      388.471178;       -2.564184;        2.052820;       -1.631477;
;      390.977444;       -2.116813;        2.479961;        3.567212;
;      393.483709;       -1.745166;        2.849357;        5.833939;
;      395.989975;       -0.818907;        2.723857;        9.684777;
;      398.496241;       -0.070101;        3.194867;       16.087254;
;      401.002506;        0.134496;        3.320894;       16.877880;
;      403.508772;        1.285166;        2.828278;       21.506480;
;      406.015038;        1.428075;        3.354034;       23.791244;
;      408.521303;        1.975395;        2.255933;       20.116558;
;      411.027569;        2.346100;        2.352559;       24.152990;
;      413.533835;        2.818631;        1.644968;       21.129216;
;      416.040100;        3.159963;        1.609681;       22.449821;
;      418.546366;        3.736335;        0.842708;       23.114000;
;      421.052632;        4.208808;        0.605679;       23.350745;
;      423.558897;        4.084370;        0.051069;       19.985678;
;      426.065163;        4.164582;       -0.601931;       17.690229;
;      428.571429;        4.181290;       -1.392052;       13.574622;
;      431.077694;        3.161254;       -1.021377;       10.529993;
;      433.583960;        3.390302;       -1.010048;       12.108234;
;      436.090226;        3.140844;       -1.352835;        8.050730;
;      438.596491;        2.781284;       -2.603432;       -0.042880;
;      441.102757;        1.837021;       -2.762520;       -6.226785;
;      443.609023;        1.344779;       -3.136554;       -9.256285;
;      446.115288;        1.139603;       -3.122877;       -9.409881;
;      448.621554;        0.321008;       -3.533534;      -16.598322;
;      451.127820;       -0.163079;       -3.866476;      -19.765184;
;      453.634085;       -1.116885;       -3.175935;      -21.051566;
;      456.140351;       -1.865652;       -3.412002;      -25.631477;
;      458.646617;       -1.907825;       -3.406255;      -25.814309;
;      461.152882;       -2.327474;       -1.708326;      -20.705659;
;      463.659148;       -2.681978;       -2.204081;      -25.085700;
;      466.165414;       -3.749358;       -1.583413;      -26.626821;
;      468.671679;       -3.998285;       -0.870028;      -24.850582;
;      471.177945;       -4.228418;       -1.328140;      -26.670044;
;      473.684211;       -4.018493;       -0.133544;      -19.702784;
;      476.190476;       -4.148524;        0.408611;      -18.626631;
;      478.696742;       -3.630664;        0.778473;      -14.588569;
;      481.203008;       -4.045532;        1.292347;      -13.373948;
;      483.709273;       -3.824108;        1.525767;      -11.995542;
;      486.215539;       -3.026811;        2.354847;       -3.455842;
;      488.721805;       -2.363504;        2.202265;       -1.213817;
;      491.228070;       -2.289886;        2.523997;        1.251727;
;      493.734336;       -1.827011;        3.260980;        8.037684;
;      496.240602;       -0.978197;        3.738975;       14.375207;
;      498.746867;       -0.677824;        3.137565;       13.179076;
;      501.253133;        0.321850;        3.099820;       16.403858;
;      503.759398;        1.129029;        3.321906;       22.393219;
;      506.265664;        1.600378;        3.383065;       24.159177;
;      508.771930;        1.699596;        3.115231;       24.370925;
;      511.278195;        2.517857;        2.581702;       25.749094;
;      513.784461;        3.020688;        1.917593;       25.692066;
;      516.290727;        3.862547;        1.918006;       29.751679;
;      518.796992;        3.954026;        1.222723;       26.388448;
;      521.303258;        3.936527;        1.213163;       25.358037;
;      523.809524;        4.337907;       -0.220851;       20.217181;
;      526.315789;        3.816981;       -0.224990;       16.372693;
;      528.822055;        3.870003;       -0.355412;       17.225953;
;      531.328321;        4.060845;       -1.440011;       11.902945;
;      533.834586;        3.789176;       -1.944576;        9.943368;
;      536.340852;        3.240825;       -2.466024;        4.573087;
;      538.847118;        2.733696;       -2.614295;        0.704240;
;      541.353383;        1.975537;       -2.892012;       -4.875940;
;      543.859649;        1.698529;       -3.013857;       -6.465606;
;      546.365915;        0.739023;       -3.511772;      -12.617449;
;      548.872180;        0.416282;       -3.269274;      -13.216913;
;      551.378446;       -0.290363;       -3.495288;      -19.276779;
;      553.884712;       -0.733397;       -3.332854;      -20.200306;
;      556.390977;       -1.690852;       -3.325698;      -25.954378;
;      558.897243;       -2.025483;       -2.901198;      -24.321534;
;      561.403509;       -2.508082;       -1.306779;      -18.498874;
;      563.909774;       -3.336069;       -0.989316;      -20.925838;
;      566.416040;       -3.475702;       -1.319704;      -25.170306;
;      568.922306;       -3.442478;       -0.973056;      -21.684242;
;      571.428571;       -3.967226;       -1.165695;      -26.338692;
;      573.934837;       -4.156433;       -0.417536;      -23.163695;
;      576.441103;       -3.979985;        0.093094;      -18.819254;
;      578.947368;       -4.036396;        0.994924;      -14.974448;
;      581.453634;       -3.670719;        1.473152;      -11.115782;
;      583.959900;       -3.500890;        1.811394;       -7.973165;
;      586.466165;       -3.089821;        2.081106;       -3.765228;
;      588.972431;       -2.520906;        2.250835;       -1.838208;
;      591.478697;       -1.792041;        2.866151;        4.313685;
;      593.984962;       -1.416056;        3.479123;        9.405117;
;      596.491228;       -0.530510;        3.396235;       13.588770;
;      598.997494;       -0.713315;        3.389107;       12.852824;
;      601.503759;        0.287757;        3.542489;       19.603467;
;      604.010025;        1.079742;        3.428948;       20.907033;
;      606.516291;        1.453118;        2.519615;       20.048876;
;      609.022556;        1.927648;        2.824573;       23.149838;
;      611.528822;        2.871631;        2.359723;       27.020600;
;      614.035088;        3.322724;        1.440626;       23.144308;
;      616.541353;        3.623699;        1.247724;       24.363057;
;      619.047619;        3.933316;        1.114893;       24.503480;
;      621.553885;        3.839559;        0.997762;       23.650208;
;      624.060150;        4.014470;        0.120328;       20.469163;
;      626.566416;        4.091457;       -0.240774;       19.073192;
;      629.072682;        3.847725;       -1.151921;       13.065430;
;      631.578947;        3.865295;       -2.076353;        9.834304;
;      634.085213;        4.017471;       -1.781526;       11.613661;
;      636.591479;        2.983071;       -2.556343;        3.597579;
;      639.097744;        2.768302;       -2.204350;        2.600840;
;      641.604010;        1.853954;       -2.316129;       -1.468425;
;      644.110276;        1.802780;       -3.260073;       -8.945227;
;      646.616541;        0.656765;       -2.883415;      -10.628512;
;      649.122807;        0.275890;       -3.036415;      -13.508840;
;      651.629073;       -0.564284;       -3.828473;      -22.259844;
;      654.135338;       -0.951881;       -3.266018;      -20.539075;
;      656.641604;       -1.682489;       -2.991484;      -22.674847;
;      659.147870;       -2.271222;       -2.651517;      -23.794789;
;      661.654135;       -2.114126;       -2.277923;      -21.627507;
;      664.160401;       -3.377060;       -1.894988;      -25.883601;
;      666.666667;       -3.617580;       -1.456949;      -25.907369;
;      669.172932;       -3.282203;       -1.315185;      -23.856168;
;      671.679198;       -4.338369;       -0.570707;      -24.757880;
;      674.185464;       -4.039505;       -0.939895;      -24.748805;
;      676.691729;       -4.393201;       -0.039217;      -21.406341;
;      679.197995;       -3.795669;        1.291502;      -13.149363;
;      681.704261;       -3.736510;        1.158516;      -13.279319;
;      684.210526;       -3.349280;        1.963495;       -4.561872;
;      686.716792;       -3.160722;        2.788941;       -2.354571;
;      689.223058;       -2.564194;        2.337579;        0.396431;
;      691.729323;       -1.742162;        2.614997;        5.130060;
;      694.235589;       -2.001111;        3.003254;        4.566040;
;      696.741855;       -1.223358;        3.473027;       11.163362;
;      699.248120;       -0.103104;        3.320809;       15.916849;
;      701.754386;        0.311683;        3.040984;       17.141296;
;      704.260652;        1.041398;        2.738232;       19.988744;
;      706.766917;        1.388426;        2.969678;       20.482000;
;      709.273183;        2.102315;        2.763759;       25.947932;
;      711.779449;        2.738777;        2.328623;       25.958955;
;      714.285714;        3.117758;        2.032274;       25.311037;
;      716.791980;        3.457148;        1.303526;       23.702520;
;      719.298246;        3.840245;        1.382941;       26.355808;
;      721.804511;        3.905246;       -0.066890;       19.429032;
;      724.310777;        4.510630;        0.197274;       24.501830;
;      726.817043;        3.955336;       -0.158700;       19.857231;
;      729.323308;        4.473217;       -1.207419;       16.041271;
;      731.829574;        3.745038;       -1.440093;       11.420464;
;      734.335840;        3.177145;       -1.790173;        7.523909;
;      736.842105;        2.960231;       -2.525835;        2.268625;
;      739.348371;        2.831645;       -2.685760;        1.642476;
;      741.854637;        2.309316;       -2.839813;       -3.204555;
;      744.360902;        1.501650;       -3.531958;       -9.772210;
;      746.867168;        0.892146;       -3.068907;      -10.651812;
;      749.373434;        0.311870;       -3.044244;      -12.541551;
;      751.879699;       -0.833828;       -3.291255;      -21.708899;
;      754.385965;       -1.284736;       -3.292915;      -22.887656;
;      756.892231;       -2.197059;       -3.514654;      -28.515449;
;      759.398496;       -2.460446;       -2.678494;      -27.583011;
;      761.904762;       -2.661713;       -2.936124;      -26.982387;
;      764.411028;       -3.167729;       -1.569309;      -21.418091;
;      766.917293;       -3.175934;       -1.488238;      -23.508318;
;      769.423559;       -3.944362;       -1.087889;      -24.929410;
;      771.929825;       -4.661515;       -0.795393;      -27.659972;
;      774.436090;       -3.851285;       -0.875855;      -23.325010;
;      776.942356;       -3.918116;        0.004458;      -19.875486;
;      779.448622;       -4.217675;        1.076402;      -15.788716;
;      781.954887;       -3.798860;        2.294412;       -6.212390;
;      784.461153;       -3.341832;        2.186541;       -6.462564;
;      786.967419;       -3.017477;        2.461942;       -3.244244;
;      789.473684;       -2.452343;        2.532969;        0.341602;
;      791.979950;       -2.081664;        3.063526;        4.801890;
;      794.486216;       -1.455119;        3.580843;       11.796229;
;      796.992481;       -0.779934;        3.303033;       14.264023;
;      799.498747;       -0.317411;        4.110889;       18.173162;
;      802.005013;        0.866048;        3.003639;       18.827742;
;      804.511278;        1.194623;        3.188320;       22.337671;
;      807.017544;        1.980984;        3.146264;       25.326739;
;      809.523810;        2.206679;        2.177948;       23.543986;
;      812.030075;        2.680151;        2.716230;       28.312984;
;      814.536341;        3.361649;        2.143558;       27.981096;
;      817.042607;        3.693314;        1.689202;       27.371599;
;      819.548872;        4.307011;        1.441627;       28.467488;
;      822.055138;        4.347260;        1.002574;       27.371608;
;      824.561404;        4.405308;        0.375935;       24.825578;
;      827.067669;        3.909963;       -0.613549;       16.597561;
;      829.573935;        3.883311;       -1.000501;       15.987680;
;      832.080201;        3.916457;       -1.371182;       13.273944;
;      834.586466;        3.452492;       -2.408929;        5.127873;
;      837.092732;        3.411481;       -2.757550;        3.572804;
;      839.598997;        2.922757;       -2.911132;        0.954642;
;      842.105263;        1.907946;       -3.033085;       -5.951349;
;      844.611529;        1.631365;       -2.655538;       -5.190797;
;      847.117794;        1.100395;       -3.146038;       -8.285450;
;      849.624060;        0.176653;       -3.638520;      -17.697451;
;      852.130326;       -0.194007;       -3.675389;      -18.571646;
;      854.636591;       -0.987142;       -2.801445;      -18.272330;
;      857.142857;       -1.817686;       -2.182532;      -18.698135;
;      859.649123;       -2.248535;       -2.809264;      -24.857480;
;      862.155388;       -2.934402;       -2.690276;      -30.146578;
;      864.661654;       -3.529931;       -2.609910;      -31.399175;
;      867.167920;       -3.716496;       -1.307924;      -24.701761;
;      869.674185;       -4.066357;       -1.046166;      -25.350786;
;      872.180451;       -4.334099;       -0.205784;      -21.086075;
;      874.686717;       -3.900841;       -0.389174;      -20.293444;
;      877.192982;       -4.226727;        0.565655;      -17.896561;
;      879.699248;       -3.492366;        0.788343;      -13.451934;
;      882.205514;       -3.957492;        1.982539;      -11.149951;
;      884.711779;       -3.411806;        1.813933;       -6.454381;
;      887.218045;       -2.740723;        2.404335;       -1.571474;
;      889.724311;       -1.961765;        2.679031;        2.311557;
;      892.230576;       -1.959605;        3.451023;        7.814510;
;      894.736842;       -1.593122;        3.472347;        9.481091;
;      897.243108;       -0.557553;        3.104666;       12.264676;
;      899.749373;       -0.379766;        3.289642;       14.956636;
;      902.255639;        0.548114;        3.109962;       17.705752;
;      904.761905;        1.343435;        3.539939;       23.302502;
;      907.268170;        2.266542;        3.275614;       26.259941;
;      909.774436;        2.842793;        2.296890;       25.397411;
;      912.280702;        3.023569;        1.847726;       23.837415;
;      914.786967;        3.701131;        2.094392;       29.342093;
;      917.293233;        3.773108;        1.888276;       27.062102;
;      919.799499;        4.277332;        1.191703;       27.172598;
;      922.305764;        4.744342;        0.045726;       22.702407;
;      924.812030;        4.391534;       -0.509970;       20.908949;
;      927.318296;        4.239138;       -0.204073;       20.078254;
;      929.824561;        4.041046;       -1.106063;       15.692886;
;      932.330827;        4.075813;       -1.708075;       12.249754;
;      934.837093;        3.872499;       -1.579717;       12.218841;
;      937.343358;        3.620797;       -2.759636;        3.346387;
;      939.849624;        2.612214;       -2.794195;        0.135851;
;      942.355890;        2.056748;       -2.990000;       -3.457855;
;      944.862155;        1.235712;       -3.065558;      -10.877721;
;      947.368421;        1.102971;       -3.798959;      -13.626888;
;      949.874687;        0.016476;       -3.416226;      -17.541925;
;      952.380952;       -0.764728;       -2.524194;      -16.314167;
;      954.887218;       -0.802696;       -3.921543;      -24.330015;
;      957.393484;       -1.768712;       -3.017212;      -23.696886;
;      959.899749;       -2.381632;       -2.967152;      -26.245716;
;      962.406015;       -3.320239;       -2.821861;      -30.506227;
;      964.912281;       -3.429055;       -2.401887;      -29.253541;
;      967.418546;       -3.773558;       -1.451555;      -27.202788;
;      969.924812;       -4.427460;       -0.285332;      -23.515848;
;      972.431078;       -4.386569;       -0.856163;      -26.649236;
;      974.937343;       -4.488270;        0.179922;      -22.611635;
;      977.443609;       -4.215479;        0.343988;      -19.404507;
;      979.949875;       -4.425216;        1.799171;      -13.305765;
;      982.456140;       -3.662688;        1.804454;       -9.130277;
;      984.962406;       -3.137583;        2.038994;       -4.661475;
;      987.468672;       -3.190660;        2.739467;       -1.772933;
;      989.974937;       -2.595461;        2.881083;        2.523133;
;      992.481203;       -1.882760;        3.576422;        7.856464;
;      994.987469;       -1.076371;        3.328374;       10.534381;
;      997.493734;       -0.566062;        3.124517;       12.712573;
;     1000.000000;        0.095291;        3.662474;       19.950723;
